model,method,guesser_model,board_seed,board_style,trial,status,stage,outcome,game_length,targets_found,target_recovery_rate,assassin_hit,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,terminal_error,error
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,win,12,9,1.0,False,12,0,1.0,0,20,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,loss,13,8,0.8888888888888888,True,14,1,0.9285714285714286,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,win,13,9,1.0,False,14,1,0.9285714285714286,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,13,9,1.0,False,15,2,0.8666666666666667,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,loss,12,8,0.8888888888888888,True,12,0,1.0,0,20,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,10,9,1.0,False,11,1,0.9090909090909091,0,18,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,win,12,9,1.0,False,15,3,0.8,0,20,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,win,13,9,1.0,False,22,9,0.5909090909090909,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,17,9,1.0,False,29,12,0.5862068965517241,0,25,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,11,9,1.0,False,15,4,0.7333333333333333,0,19,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,win,12,9,1.0,False,18,6,0.6666666666666666,0,19,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,win,14,9,1.0,False,17,3,0.8235294117647058,0,22,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,win,14,9,1.0,False,18,4,0.7777777777777778,0,22,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,loss,8,6,0.6666666666666666,True,10,2,0.8,0,14,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,loss,12,5,0.5555555555555556,True,16,4,0.75,0,17,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,6,9,1.0,False,8,2,0.75,0,14,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,2,3,0.3333333333333333,True,4,2,0.5,0,5,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,win,8,9,1.0,False,11,3,0.7272727272727273,0,16,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,loss,8,6,0.6666666666666666,True,10,2,0.8,0,14,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,loss,6,4,0.4444444444444444,True,11,5,0.5454545454545454,0,10,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,loss,8,5,0.5555555555555556,True,10,2,0.8,0,13,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,loss,4,0,0.0,True,6,2,0.6666666666666666,0,4,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,15,9,1.0,False,22,7,0.6818181818181818,0,22,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,win,12,9,1.0,False,24,12,0.5,0,20,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,loss,4,4,0.4444444444444444,True,7,3,0.5714285714285714,0,8,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,1,0,0.0,True,6,5,0.16666666666666666,0,1,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,loss,3,2,0.2222222222222222,True,8,5,0.375,0,5,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,loss,9,4,0.4444444444444444,True,19,10,0.47368421052631576,0,13,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,loss,7,3,0.3333333333333333,True,14,7,0.5,0,10,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,codemaster_failure,2,2,0.2222222222222222,False,9,7,0.2222222222222222,1,4,0,1.0,0,Codemaster qwen/qwen3.5-9b/strong_hebrew failed after 6 attempts: Model qwen/qwen3.5-9b failed to produce valid JSON after 1 attempts: Could not parse JSON: Unterminated string starting at: line 5 column 14 (char 89),
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,codemaster_failure,0,0,0.0,False,6,6,0.0,1,0,0,,0,"Codemaster qwen/qwen3.5-9b/strong_hebrew failed after 6 attempts: Model qwen/qwen3.5-9b failed to produce valid JSON after 1 attempts: Could not parse JSON: Expecting ',' delimiter: line 1 column 343 (char 342)",
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,loss,6,2,0.2222222222222222,True,17,11,0.35294117647058826,0,8,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,codemaster_failure,2,1,0.1111111111111111,False,15,13,0.13333333333333333,1,3,0,1.0,0,Codemaster qwen/qwen3.5-9b/strong_hebrew failed after 6 attempts: clue 'אופרה' must not be a word already on the board,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,loss,12,8,0.8888888888888888,True,21,9,0.5714285714285714,0,20,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,10,9,1.0,False,15,5,0.6666666666666666,0,17,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,9,9,1.0,False,18,9,0.5,0,17,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,1,0,0.0,True,1,0,1.0,0,1,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,loss,6,2,0.2222222222222222,True,9,3,0.6666666666666666,0,8,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,win,16,9,1.0,False,26,10,0.6153846153846154,0,24,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,loss,5,2,0.2222222222222222,True,17,12,0.29411764705882354,0,7,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,codemaster_failure,3,3,0.3333333333333333,False,9,6,0.3333333333333333,1,6,0,1.0,0,Codemaster qwen/qwen3.5-9b/strong_hebrew failed after 6 attempts: intended_targets not on board: ['מטה'],
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,win,10,9,1.0,False,17,7,0.5882352941176471,0,18,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,loss,3,3,0.3333333333333333,True,5,2,0.6,0,6,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,win,14,9,1.0,False,33,19,0.42424242424242425,0,21,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,16,9,1.0,False,28,12,0.5714285714285714,0,24,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,loss,13,7,0.7777777777777778,True,24,11,0.5416666666666666,0,20,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,loss,11,6,0.6666666666666666,True,16,5,0.6875,0,17,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,loss,8,3,0.3333333333333333,True,17,9,0.47058823529411764,0,11,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,codemaster_failure,3,1,0.1111111111111111,False,11,8,0.2727272727272727,1,4,0,1.0,0,Codemaster qwen/qwen3.5-9b/translate_pipeline failed after 6 attempts: Model qwen/qwen3.5-9b failed to produce valid JSON after 1 attempts: Could not parse JSON: Unterminated string starting at: line 5 column 14 (char 68),
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,loss,3,1,0.1111111111111111,True,3,0,1.0,0,4,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,loss,14,8,0.8888888888888888,True,24,10,0.5833333333333334,0,21,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,win,8,9,1.0,False,16,8,0.5,0,15,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,win,17,9,1.0,False,31,14,0.5483870967741935,0,25,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,10,9,1.0,False,14,4,0.7142857142857143,0,18,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,9,9,1.0,False,12,3,0.75,0,17,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,10,6,0.6666666666666666,True,13,3,0.7692307692307693,0,16,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,loss,4,4,0.4444444444444444,True,5,1,0.8,0,8,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,win,18,9,1.0,False,31,13,0.5806451612903226,0,26,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,loss,12,8,0.8888888888888888,True,14,2,0.8571428571428571,0,20,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,loss,6,5,0.5555555555555556,True,9,3,0.6666666666666666,0,11,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,loss,2,1,0.1111111111111111,True,4,2,0.5,0,3,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,15,9,1.0,False,24,9,0.625,0,23,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,codemaster_failure,0,0,0.0,False,6,6,0.0,1,0,0,,0,Codemaster qwen/qwen3.5-9b/translate_pipeline failed after 6 attempts: intended_targets not on board: ['דבר'],
qwen/qwen3.5-9b,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,12,9,1.0,False,17,5,0.7058823529411765,0,20,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,4,5,0.5555555555555556,True,5,1,0.8,0,8,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,loss,3,3,0.3333333333333333,True,3,0,1.0,0,6,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,loss,11,8,0.8888888888888888,True,14,3,0.7857142857142857,0,19,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,14,9,1.0,False,20,6,0.7,0,22,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,14,9,1.0,False,17,3,0.8235294117647058,0,22,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,loss,1,0,0.0,True,1,0,1.0,0,1,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,win,11,9,1.0,False,15,4,0.7333333333333333,0,18,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,loss,7,6,0.6666666666666666,True,9,2,0.7777777777777778,0,13,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,loss,8,5,0.5555555555555556,True,8,0,1.0,0,13,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,13,9,1.0,False,14,1,0.9285714285714286,0,21,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,13,9,1.0,False,13,0,1.0,0,21,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,3,3,0.3333333333333333,True,4,1,0.75,0,6,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,win,9,9,1.0,False,13,4,0.6923076923076923,0,17,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,loss,5,3,0.3333333333333333,True,7,2,0.7142857142857143,0,8,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,loss,16,8,0.8888888888888888,True,20,4,0.8,0,23,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,loss,4,3,0.3333333333333333,True,5,1,0.8,0,7,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,win,11,9,1.0,False,12,1,0.9166666666666666,0,19,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,16,9,1.0,False,22,6,0.7272727272727273,0,24,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,loss,4,1,0.1111111111111111,True,4,0,1.0,0,5,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,8,9,1.0,False,14,6,0.5714285714285714,0,16,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,3,3,0.3333333333333333,True,4,1,0.75,0,6,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,loss,15,7,0.7777777777777778,True,24,9,0.625,0,22,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,loss,7,2,0.2222222222222222,True,10,3,0.7,0,9,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,15,9,1.0,False,23,8,0.6521739130434783,0,23,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,10,9,1.0,False,15,5,0.6666666666666666,0,18,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,loss,4,2,0.2222222222222222,True,4,0,1.0,0,6,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,loss,5,3,0.3333333333333333,True,6,1,0.8333333333333334,0,8,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,loss,6,6,0.6666666666666666,True,7,1,0.8571428571428571,0,12,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,loss,9,6,0.6666666666666666,True,10,1,0.9,0,15,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,8,9,1.0,False,9,1,0.8888888888888888,0,16,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,loss,11,7,0.7777777777777778,True,14,3,0.7857142857142857,0,18,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,1,1,0.1111111111111111,True,2,1,0.5,0,2,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,loss,13,7,0.7777777777777778,True,16,3,0.8125,0,20,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,win,11,9,1.0,False,13,2,0.8461538461538461,0,19,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,win,19,9,1.0,False,21,2,0.9047619047619048,0,27,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,loss,6,6,0.6666666666666666,True,8,2,0.75,0,12,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,loss,1,0,0.0,True,1,0,1.0,0,1,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,7,9,1.0,False,7,0,1.0,0,15,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,win,13,9,1.0,False,18,5,0.7222222222222222,0,21,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,11,9,1.0,False,14,3,0.7857142857142857,0,19,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,1,2,0.2222222222222222,True,1,0,1.0,0,3,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,loss,3,2,0.2222222222222222,True,3,0,1.0,0,5,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,win,7,9,1.0,False,7,0,1.0,0,15,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,14,9,1.0,False,15,1,0.9333333333333333,0,22,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,8,9,1.0,False,11,3,0.7272727272727273,0,16,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,loss,8,7,0.7777777777777778,True,8,0,1.0,0,15,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,win,10,9,1.0,False,12,2,0.8333333333333334,0,18,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,11,9,1.0,False,11,0,1.0,0,19,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,11,9,1.0,False,13,2,0.8461538461538461,0,19,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,7,5,0.5555555555555556,True,7,0,1.0,0,12,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,win,7,9,1.0,False,10,3,0.7,0,15,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,win,11,9,1.0,False,15,4,0.7333333333333333,0,20,1,0.95,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,win,10,9,1.0,False,10,0,1.0,0,18,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,win,8,9,1.0,False,11,3,0.7272727272727273,0,15,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,loss,14,8,0.8888888888888888,True,15,1,0.9333333333333333,0,22,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,loss,2,1,0.1111111111111111,True,3,1,0.6666666666666666,0,3,0,1.0,0,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,0,1.0,0,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,1,2,0.2222222222222222,True,1,0,1.0,0,3,0,1.0,0,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,loss,2,2,0.2222222222222222,True,3,1,0.6666666666666666,0,4,0,1.0,0,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,win,9,9,1.0,False,10,1,0.9,0,17,0,1.0,0,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,12,9,1.0,False,12,0,1.0,0,20,0,1.0,0,,
